"mesas","numero_local","nombre_local","direccion_pdf","centro_poblado","distrito","provincia","region","motivo_precision"
"7","2951","IE 41 FE Y ALEGRIA CALASANZ","AV VIRGEN DEL CARMEN SN 1ERA ETAPA","VIRGEN DEL CARMEN LA ERA ÑAÑA","LURIGANCHO","LIMA","LIMA","sin_resultados_sigmed"
"5","1081","IE GRAN MARISCAL LUIS JOSE DE ORBEGOSO","PAMPA COCHABAMBA","SAN MIGUEL DE ALGAMARCA","CACHACHI","CAJABAMBA","CAJAMARCA","sin_resultados_sigmed"
"5","55354","LOCAL MUNICIPAL DE CHOQUEPATA","PLAZA DE CHOQUEPATA S/N","CHOQUEPATA","OROPESA","QUISPICANCHI","CUSCO","sin_resultados_sigmed"
"5","7339","IE 0740 SAN JUAN DE TALLIQUIHUI","JR MICAELA BASTIDAS SN","SAN JUAN DE TALLIQUIHUI","SANTA ROSA","EL DORADO","SAN MARTIN","sin_resultados_sigmed"
"4","0111","IE 16714 SUWIKAI TSAKIM MIYAN","JR 14 DE MAYO SN","PAANTAM","NIEVA","CONDORCANQUI","AMAZONAS","sin_resultados_sigmed"
"4","51440","IE JOSE OLAYA - PUTAQA","PLAZA PRINCIPAL DE PUTACCA","PUTACCA","VINCHOS","HUAMANGA","AYACUCHO","sin_resultados_sigmed"
"4","51967","IE NUESTRO SEÑOR DE LOS MILAGROS","AV LIMA CUADRA 3","AMBATO TAMBORAPA","BELLAVISTA","JAEN","CAJAMARCA","sin_resultados_sigmed"
"4","50219","IE CAÑICUTO","AV PRINCIPAL SN","VILLA HERMOSA DE CAÑICUTO","SAN ANTON","AZANGARO","PUNO","sin_resultados_sigmed"
"3","54935","IE RICARDO PALMA - COLEGIO INDUSTRIAL","AV GONZALES GOMEZ SN.","CHUPARO","ANCO HUALLO","CHINCHEROS","APURIMAC","sin_resultados_sigmed"
"3","52615","IE TUÑAD","JR LIMA 104","TUÑAD","SAN BERNARDINO","SAN PABLO","CAJAMARCA","sin_resultados_sigmed"
"3","55119","IE HUAYNA CCAPAC - HUATTA GRANDE","AV 28 DE JUNIO SN","HUAYNA CCAPAC DE HUATTA GRANDE","HUANCARANI","PAUCARTAMBO","CUSCO","sin_resultados_sigmed"
"3","6868","IE SEÑOR CAUTIVO","CARRETERA TUNAS","VALLE NOR PACIFICO TUNAS","HUARMACA","HUANCABAMBA","PIURA","sin_resultados_sigmed"
"3","7184","IE GRAL JUAN VELASCO ALVARADO","CALLE MARIA AUXILIADORA 326","LOS CANIZALES","LA UNION","PIURA","PIURA","sin_resultados_sigmed"
"3","50217","IE 14100","CALLE AYABACA SN","LA TORTUGA","VICE","SECHURA","PIURA","sin_resultados_sigmed"
"3","54961","IES AGROINDUSTRIAL YACANGO","CENTRO POBLADO KANCCORA YACANGO","KANCCORA YACANGO","ILAVE","EL COLLAO","PUNO","sin_resultados_sigmed"
"2","0395","IE 86201 VIRGEN DEL ROSARIO","CALLE MAGISTERIAL SN","SAN PEDRO DE UCHUPATA","ACZO","ANTONIO RAIMONDI","ANCASH","sin_resultados_sigmed"
"2","53175","IE 86806 NICEFORO HORACIO ZEBALLOS GAMEZ","JR SAN JOSÉ DE ILLAURO","SAN JOSE DE ILLAURO","MIRGAS","ANTONIO RAIMONDI","ANCASH","sin_resultados_sigmed"
"2","54104","IE 86738 EL AMAUTA JOSÉ MARÍA ARGUEDAS ALTAMIRANO","CCPP SAN MARTIN DE PUNCA SN","SAN MARTIN DE PUNCA","MIRGAS","ANTONIO RAIMONDI","ANCASH","sin_resultados_sigmed"
"2","7511","IE MARIANO MELGAR Y VALDIVIESO","AV JUAN VELAZCO ALVARADO SN","SAN MARTIN DE PARAS","MIRGAS","ANTONIO RAIMONDI","ANCASH","sin_resultados_sigmed"
"2","50049","IE WALTER PEÑALOZA","PAMPA ISABEL SANTA ROSA SN","SANTIAGO SANTA ROSA","CHAPIMARCA","AYMARAES","APURIMAC","sin_resultados_sigmed"
"2","0564","IE MIGUEL GRAU SEMINARIO","JR ANDAHUAYLAS SN","MUÑAPUCRO","ANCO HUALLO","CHINCHEROS","APURIMAC","sin_resultados_sigmed"
"2","54934","IE 54225 JOSE ANTONIO ENCINAS","JR SAN JUAN BAUTISTA SN","TOTORABAMBA","ANCO HUALLO","CHINCHEROS","APURIMAC","sin_resultados_sigmed"
"2","7514","IESM JOSE ANTONIO ENCINAS","JR ANDRES AVELINO CACERES SN","EL PORVENIR","EL PORVENIR","CHINCHEROS","APURIMAC","sin_resultados_sigmed"
"2","53421","IE VALENTIN PANIAGUA CORAZAO","JOSE MARIA ARGUEDAS SN","UNIÓN PUNCUPATA","CHUSCHI","CANGALLO","AYACUCHO","sin_resultados_sigmed"
"2","50060","IE PEDRO CRISOLOGO CARDENAS OROZCO","AV CATORCE DE AGOSTO SN","SANTA CRUZ DE ÑUÑUNHUAYCCO","LOS MOROCHUCOS","CANGALLO","AYACUCHO","sin_resultados_sigmed"
