numero_mesa,before_estado_acta,after_estado_acta,before_votos_emitidos,after_votos_emitidos,before_votos_validos,after_votos_validos
900087,Para envío al JEE,Para envío al JEE,,,,
900110,Para envío al JEE,Para envío al JEE,,,,
900124,Para envío al JEE,Para envío al JEE,,,,
900147,Para envío al JEE,Para envío al JEE,,,,
900171,Para envío al JEE,Para envío al JEE,,,,
900200,Para envío al JEE,Para envío al JEE,,,,
900227,Para envío al JEE,Contabilizada,,203,,147
900240,Para envío al JEE,Para envío al JEE,,,,
900249,Para envío al JEE,Para envío al JEE,,,,
900343,Para envío al JEE,Para envío al JEE,,,,
900375,Para envío al JEE,Para envío al JEE,,,,
900407,Para envío al JEE,Contabilizada,,223,,135
900409,Para envío al JEE,Para envío al JEE,,,,
900424,Para envío al JEE,Para envío al JEE,,,,
900430,Para envío al JEE,Para envío al JEE,,,,
900547,Para envío al JEE,Para envío al JEE,,,,
900549,Para envío al JEE,Para envío al JEE,,,,
900555,Para envío al JEE,Contabilizada,,136,,95
900559,Para envío al JEE,Contabilizada,,165,,102
900566,Para envío al JEE,Contabilizada,,183,,99
900608,Para envío al JEE,Contabilizada,,187,,140
900621,Para envío al JEE,Para envío al JEE,,,,
900755,Para envío al JEE,Para envío al JEE,,,,
900767,Para envío al JEE,Para envío al JEE,,,,
900936,Para envío al JEE,Contabilizada,,230,,161
900952,Para envío al JEE,Para envío al JEE,,,,
901184,Para envío al JEE,Para envío al JEE,,,,
901185,Para envío al JEE,Para envío al JEE,,,,
901189,Para envío al JEE,Contabilizada,,126,,88
901200,Para envío al JEE,Contabilizada,,77,,57
901212,Para envío al JEE,Contabilizada,,166,,120
901214,Para envío al JEE,Contabilizada,,209,,160
901250,Para envío al JEE,Para envío al JEE,,,,
901297,Para envío al JEE,Para envío al JEE,,,,
901357,Para envío al JEE,Para envío al JEE,,,,
901361,Para envío al JEE,Para envío al JEE,,,,
901363,Para envío al JEE,Para envío al JEE,,,,
901376,Para envío al JEE,Para envío al JEE,,,,
901380,Para envío al JEE,Para envío al JEE,,,,
901394,Para envío al JEE,Para envío al JEE,,,,
901411,Para envío al JEE,Para envío al JEE,,,,
901439,Para envío al JEE,Para envío al JEE,,,,
901441,Para envío al JEE,Para envío al JEE,,,,
901454,Para envío al JEE,Para envío al JEE,,,,
901510,Para envío al JEE,Para envío al JEE,,,,
901657,Para envío al JEE,Contabilizada,,55,,41
901658,Para envío al JEE,Contabilizada,,236,,166
901667,Para envío al JEE,Contabilizada,,209,,171
901830,Para envío al JEE,Para envío al JEE,,,,
