ambito,region,provincia,distrito,numero_local,nombre_local,estado_mesa_pdf,numero_mesa
PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,Instalada,900087
PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,Instalada,900110
PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,53320,IE MANUEL SEOANE CORRALES,Instalada,900124
PERÚ,AMAZONAS,UTCUBAMBA,CAJARURO,50018,IE JULIO PONCE ANTUNEZ DE MAYOLO,Instalada,900147
PERÚ,AMAZONAS,UTCUBAMBA,LONYA GRANDE,55098,IE CP 16265 ROBLEPAMPA,Instalada,900171
PERÚ,AMAZONAS,LUYA,COCABAMBA,6706,IE 18269,Instalada,900200
PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,100,IE 18331 JOSE CARLOS MARIATEGUI,Instalada,900227
PERÚ,ANCASH,CASMA,BUENA VISTA ALTA,19051,IE 88111 JOSE FAUSTINO SANCHEZ CARRION,Instalada,900240
PERÚ,ANCASH,HUARMEY,MALVAS,420,IE 86142 SABIO SANTIAGO ANTUNEZ DE MAYOLO,Instalada,900249
PERÚ,ANCASH,HUARI,HUARI,55022,IE 86330 - AMPAS,Instalada,900343
PERÚ,ANCASH,HUARI,SAN MARCOS,50038,IE 86384,Instalada,900375
PERÚ,ANCASH,ANTONIO RAIMONDI,MIRGAS,54103,IE 86737 JORGE NONNI MAINETTI,Instalada,900407
PERÚ,ANCASH,ANTONIO RAIMONDI,MIRGAS,54104,IE 86738 EL AMAUTA JOSÉ MARÍA ARGUEDAS ALTAMIRANO,Instalada,900409
PERÚ,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,40958,IEI 330 RANCHAJ,Instalada,900424
PERÚ,ANCASH,ASUNCION,ACOCHACA,50025,IE MARIA AUXILIADORA,Instalada,900430
PERÚ,ANCASH,SIHUAS,HUAYLLABAMBA,54575,IE 84257 PATRON SAN MIGUEL ARCANGEL,Instalada,900547
PERÚ,ANCASH,SIHUAS,QUICHES,55077,IE 84183 VICTOR ANDRES ROJAS FLORES,Instalada,900549
PERÚ,ANCASH,SIHUAS,RAGASH,51917,IE 84210 JOSE OLAYA,Instalada,900555
PERÚ,ANCASH,SIHUAS,SAN JUAN,373,IE 84228 JOSE ANTONIO ENCINAS,Instalada,900559
PERÚ,ANCASH,SIHUAS,SAN JUAN,50045,IE 84227 SAN ANTONIO,Instalada,900566
PERÚ,ANCASH,PALLASCA,PAMPAS,283,IE 88186,Instalada,900608
PERÚ,ANCASH,SANTA,CHIMBOTE,8339,IE 88046 JOSE CARLOS MARIATEGUI,Instalada,900621
PERÚ,APURIMAC,CHINCHEROS,ANCO HUALLO,564,IE MIGUEL GRAU SEMINARIO,Instalada,900755
PERÚ,APURIMAC,COTABAMBAS,TAMBOBAMBA,526,IE 50650 DE ASACASI,Instalada,900767
PERÚ,AYACUCHO,HUAMANGA,VINCHOS,51440,IE JOSE OLAYA - PUTAQA,Instalada,900936
PERÚ,AYACUCHO,HUAMANGA,ACOCRO,53689,IE CORONEL SANTIAGO MARCELINO CARREÑO,Instalada,900952
PERÚ,CAJAMARCA,CAJABAMBA,SITACOCHA,5683,IE 82389,Instalada,901184
PERÚ,CAJAMARCA,CAJABAMBA,SITACOCHA,52285,IE 82388,Instalada,901185
PERÚ,CAJAMARCA,CELENDIN,CORTEGANA,1095,IE ABRAHAM VALDELOMAR,Instalada,901189
PERÚ,CAJAMARCA,CELENDIN,HUASMIN,1099,IE JEREZ,Instalada,901200
PERÚ,CAJAMARCA,CELENDIN,HUASMIN,50073,IE 821056,Instalada,901212
PERÚ,CAJAMARCA,CELENDIN,HUASMIN,50073,IE 821056,Instalada,901214
PERÚ,CAJAMARCA,CELENDIN,SOROCHUCO,55196,IE 82426 - CCPP SAN JUAN DE REJOPAMPA,Instalada,901250
PERÚ,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,1325,IE ABEL CALDERON CARRERA,Instalada,901297
PERÚ,CAJAMARCA,CHOTA,TACABAMBA,1188,IE 10460,Instalada,901357
PERÚ,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,7267,IE 10609,Instalada,901361
PERÚ,CAJAMARCA,CHOTA,CHALAMARCA,50075,IE 10526 EL VERDE,Instalada,901363
PERÚ,CAJAMARCA,HUALGAYOC,BAMBAMARCA,52256,IE 82671 EL TAMBO,Instalada,901376
PERÚ,CAJAMARCA,HUALGAYOC,BAMBAMARCA,52256,IE 82671 EL TAMBO,Instalada,901380
PERÚ,CAJAMARCA,HUALGAYOC,BAMBAMARCA,54017,IE SAN FRANCISCO DE ASIS,Instalada,901394
PERÚ,CAJAMARCA,HUALGAYOC,BAMBAMARCA,54697,IE DANIEL ALCIDES CARRION,Instalada,901411
PERÚ,CAJAMARCA,CUTERVO,CUTERVO,54134,IE CARLOS MATTA RIVERA,Instalada,901439
PERÚ,CAJAMARCA,CUTERVO,CUTERVO,54134,IE CARLOS MATTA RIVERA,Instalada,901441
PERÚ,CAJAMARCA,CUTERVO,QUEROCOTILLO,50080,IE SAN MARCOS,Instalada,901454
PERÚ,CAJAMARCA,JAEN,COLASAY,7362,IE 16090 JOSE CARLOS MARIATEGUI,Instalada,901510
PERÚ,CAJAMARCA,SAN MIGUEL,NIEPOS,54894,IE 82764,Instalada,901657
PERÚ,CAJAMARCA,SAN MIGUEL,SAN GREGORIO,1276,IE HORACIO ZEVALLOS GAMEZ,Instalada,901658
PERÚ,CAJAMARCA,SAN MIGUEL,EL PRADO,1279,IE 82742,Instalada,901667
PERÚ,CUSCO,LA CONVENCION,ECHARATE,1471,IE 50300 VIRGEN DE LAS MERCEDES,Instalada,901830
PERÚ,CUSCO,LA CONVENCION,ECHARATE,1482,IE 501108 MEDIO URUBAMBA IVOCHOTE,Instalada,901848
PERÚ,CUSCO,LA CONVENCION,SANTA TERESA,54719,IE VIRGEN DEL CARMEN,Instalada,901856
PERÚ,CUSCO,LA CONVENCION,VILCABAMBA,1488,IE 50321 YUVENI,Instalada,901861
PERÚ,CUSCO,LA CONVENCION,MEGANTONI,53506,IE 64553 TICUMPINIA,Por Informar,901884
PERÚ,CUSCO,LA CONVENCION,MEGANTONI,53506,IE 64553 TICUMPINIA,Por Informar,901885
PERÚ,CUSCO,QUISPICANCHI,CCATCA,55233,IE ANDAYAQUE,Instalada,901921
PERÚ,HUANCAVELICA,ACOBAMBA,PAUCARA,7224,IE 36326,Instalada,901978
PERÚ,HUANCAVELICA,ANGARAES,LIRCAY,1617,IE RICARDO PALMA,Instalada,902001
PERÚ,HUANCAVELICA,ANGARAES,ANCHONGA,1618,IE DANIEL ALCIDES CARRION,Instalada,902005
PERÚ,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,1587,IE 36097 TANSIRI,Instalada,902079
PERÚ,HUANCAVELICA,HUAYTARA,PILPICHACA,1693,IE TECNICO AGROPECUARIO ARTESANAL,Instalada,902117
PERÚ,HUANCAVELICA,CHURCAMPA,ANCO,55142,IE 31345 DOMINGO SAVIO,Instalada,902177
PERÚ,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,1751,IE 32743 SANTA ROSA DE LIMA,Instalada,902314
PERÚ,HUANUCO,AMBO,COLPAS,1770,IEI 32145 JOSE ANTONIO ENCINAS FRANCO,Instalada,902344
PERÚ,HUANUCO,PACHITEA,MOLINO,50136,IE 32617 CALLAGAN,Instalada,902389
PERÚ,HUANUCO,MARAÑON,HUACRACHUCO,7218,IEI 176 HUACHUMAY,Instalada,902410
PERÚ,HUANUCO,PUERTO INCA,PUERTO INCA,1844,IE 32969 PUERTO SUNGARO,Instalada,902446
PERÚ,HUANUCO,PUERTO INCA,PUERTO INCA,7366,IEI 33039 NUEVO PORVENIR,Instalada,902447
PERÚ,HUANUCO,LAURICOCHA,JESUS,53596,IEI FERMIN PABLO COZ MARTEL,Instalada,902457
PERÚ,HUANUCO,LAURICOCHA,RONDOS,50133,IE MANUEL MARTEL DIAZ - COSMA,Instalada,902465
PERÚ,HUANUCO,YAROWILCA,CHORAS,55217,IE INTEGRADA SAN JOSÉ DE TASHGA,Instalada,902478
PERÚ,JUNIN,SATIPO,PANGOA,2166,IE 64425 TRES UNIDOS DE MATERENI,Instalada,902511
PERÚ,JUNIN,SATIPO,RIO TAMBO,7520,IE DANIEL ALCIDES CARRION,Instalada,902561
PERÚ,JUNIN,CHANCHAMAYO,PERENE,2199,IEI PUERTO YURINAKI,Instalada,902583
PERÚ,JUNIN,CHANCHAMAYO,PERENE,2200,IE ADVENTISTA EBEN EZER,Instalada,902586
PERÚ,LA LIBERTAD,OTUZCO,CHARAT,2344,IE 80246 JOSE CARLOS MARIATEGUI,Instalada,902686
PERÚ,LA LIBERTAD,OTUZCO,SINSICAP,2353,IE 80664 SAN IGNACIO DE LOYOLA,Instalada,902708
PERÚ,LA LIBERTAD,OTUZCO,SINSICAP,2353,IE 80664 SAN IGNACIO DE LOYOLA,Instalada,902709
PERÚ,LA LIBERTAD,OTUZCO,USQUIL,6819,IE 80371 ALFONSO ROBLES DE LA CRUZ,Instalada,902725
PERÚ,LA LIBERTAD,PACASMAYO,GUADALUPE,53623,IE 81563 FRANCISCO SOLANO DEZA ALCANTARA,Instalada,902748
PERÚ,LA LIBERTAD,ASCOPE,CASA GRANDE,52050,IE VICTOR RAUL HAYA DE LA TORRE,Instalada,902760
PERÚ,LA LIBERTAD,PATAZ,TAYABAMBA,40374,IE LA VICTORIA TÉCNICO AGROPECUARIO,Instalada,902769
PERÚ,LA LIBERTAD,PATAZ,CHILLIA,53487,IE 80480 RICARDO PALMA,Instalada,902772
PERÚ,LA LIBERTAD,PATAZ,CHILLIA,53496,IEI 80809 CHINCHUPATA,Instalada,902775
PERÚ,LA LIBERTAD,JULCAN,CALAMARCA,2444,IE 80554 CESAR ABRAHAN VALLEJO MENDOZA,Instalada,902885
PERÚ,LAMBAYEQUE,FERREÑAFE,CAÑARIS,7317,IEIPSM 10776 JUAN VELASCO ALVARADO,Instalada,902933
PERÚ,LAMBAYEQUE,LAMBAYEQUE,OLMOS,50168,IE 10176 DANIEL ALCIDES CARRION GARCIA,Instalada,903020
PERÚ,LAMBAYEQUE,LAMBAYEQUE,OLMOS,50169,IE 10177 INTEGRADA EL PUENTE,Instalada,903025
PERÚ,LIMA,CANTA,SANTA ROSA DE QUIVES,7164,IE 3510 SAN ANTONIO DE PADUA,Instalada,903122
PERÚ,LIMA,LIMA,PACHACAMAC,3004,IE 7102 SAN FRANCISCO DE ASIS,Por Informar,903206
PERÚ,LIMA,LIMA,PACHACAMAC,3004,IE 7102 SAN FRANCISCO DE ASIS,Por Informar,903209
PERÚ,LIMA,LIMA,PACHACAMAC,3004,IE 7102 SAN FRANCISCO DE ASIS,Por Informar,903214
PERÚ,LIMA,LIMA,PACHACAMAC,7166,IE 7265 JOSE CARLOS MARIATEGUI,Instalada,903216
PERÚ,LIMA,LIMA,PACHACAMAC,7166,IE 7265 JOSE CARLOS MARIATEGUI,Instalada,903217
PERÚ,LIMA,LIMA,PACHACAMAC,54888,IE PARROQUIAL VIRGEN DEL ROSARIO,Instalada,903231
PERÚ,LIMA,LIMA,LURIGANCHO,2948,IE 1205 ABELARDO QUIÑONEZ,Instalada,903244
PERÚ,LIMA,LIMA,LURIGANCHO,2949,IE 1233 MANUEL FERNANDO CABREL NICHO,Instalada,903249
PERÚ,LIMA,LIMA,LURIGANCHO,2949,IE 1233 MANUEL FERNANDO CABREL NICHO,Instalada,903253
PERÚ,LIMA,YAUYOS,VIÑAC,3751,IE INTEGRADO 20196 SAN MIGUEL ARCANGEL,Instalada,903313
PERÚ,LIMA,YAUYOS,CATAHUASI,50182,IEI 20780 SAC CANCHAN,Instalada,903315
PERÚ,LORETO,MARISCAL RAMON CASTILLA,YAVARI,3956,IE 60082 MARIA ANTONIETA MENDOZA PINTO,Instalada,903457
PERÚ,LORETO,MAYNAS,FERNANDO LORES,50196,IE PADRE SEVERINO DESHAIES,Instalada,903478
PERÚ,LORETO,MAYNAS,LAS AMAZONAS,3848,IE 60066 VIRGEN DE LOURDES,Instalada,903481
PERÚ,LORETO,MAYNAS,LAS AMAZONAS,3848,IE 60066 VIRGEN DE LOURDES,Instalada,903485
PERÚ,LORETO,MAYNAS,LAS AMAZONAS,3848,IE 60066 VIRGEN DE LOURDES,Instalada,903486
PERÚ,LORETO,MAYNAS,NAPO,53709,IE 60970,Instalada,903496
PERÚ,LORETO,LORETO,URARINAS,3913,IE 60534 CESAR VALLEJO MENDOZA,Instalada,903536
PERÚ,LORETO,LORETO,URARINAS,3913,IE 60534 CESAR VALLEJO MENDOZA,Instalada,903538
PERÚ,LORETO,LORETO,URARINAS,3913,IE 60534 CESAR VALLEJO MENDOZA,Instalada,903540
PERÚ,LORETO,LORETO,URARINAS,3913,IE 60534 CESAR VALLEJO MENDOZA,Instalada,903542
PERÚ,LORETO,LORETO,URARINAS,54915,IE 601455,Instalada,903546
PERÚ,LORETO,REQUENA,MAQUIA,3924,IE 60711 MONSEÑOR VICTOR DE LA PEÑA PEREZ,Instalada,903565
PERÚ,LORETO,REQUENA,MAQUIA,53565,IE 60740 VICTORIA ABAD CORREA,Instalada,903568
PERÚ,LORETO,REQUENA,MAQUIA,55175,IE 60720 NUEVO CARACHAMA,Instalada,903570
PERÚ,LORETO,REQUENA,YAQUERANA,53567,IE REMOYACU,Instalada,903575
PERÚ,LORETO,UCAYALI,CONTAMANA,50198,IE 64585-B NUEVO OLAYA,Instalada,903582
PERÚ,LORETO,UCAYALI,PADRE MARQUEZ,50200,IE 601089 - B,Instalada,903589
PERÚ,LORETO,UCAYALI,PAMPA HERMOSA,3942,IE 64740 NUEVO LORETO,Instalada,903596
PERÚ,LORETO,UCAYALI,SARAYACU,7588,IE MANUEL ASUNCION VILLACREZ-SAMAN,Instalada,903611
PERÚ,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,55151,IE 43105,Instalada,903657
PERÚ,PASCO,OXAPAMPA,CONSTITUCION,7365,IE FERNANDO BELAUNDE TERRY,Instalada,903685
PERÚ,PIURA,PIURA,CATACAOS,6871,IE JOSE CARLOS MARIATEGUI LA CHIRA,Instalada,903707
PERÚ,PIURA,PIURA,LA UNION,50215,IE ALMIRANTE MIGUEL GRAU,Instalada,903740
PERÚ,PIURA,PIURA,TAMBO GRANDE,7187,IE 14146 VILLA LA PEÑITA,Instalada,903758
PERÚ,PIURA,PIURA,TAMBO GRANDE,50216,IE HORACIO ZEBALLOS GÁMEZ,Instalada,903783
PERÚ,PIURA,PIURA,TAMBO GRANDE,50216,IE HORACIO ZEBALLOS GÁMEZ,Instalada,903788
PERÚ,PIURA,PIURA,TAMBO GRANDE,55055,IE 15434 JESUS DE NAZARETH,Instalada,903796
PERÚ,PIURA,PIURA,CURA MORI,15418,IE 20469,Instalada,903807
PERÚ,PIURA,HUANCABAMBA,HUANCABAMBA,50206,IE 15454 MARIO VARGAS LLOSA,Instalada,903812
PERÚ,PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,6852,IE 14460 JUAN VELASCO ALVARADO,Instalada,903907
PERÚ,PIURA,PAITA,PAITA,54354,CENTRO DE EDUCACIÓN INFANTIL Y DESARROLLO SOCIAL IE 14100 ANEXO INICIAL,Instalada,903960
PERÚ,PIURA,PAITA,PAITA,54516,CPED 14745,Instalada,903966
PERÚ,PIURA,AYABACA,AYABACA,53606,IE TEOFILO FLORES HUAMAN,Instalada,904006
PERÚ,PIURA,AYABACA,AYABACA,55413,IE SAN VICENTE TAPAL BAJO,Instalada,904011
PERÚ,PIURA,AYABACA,FRIAS,15102,IE 14327,Instalada,904017
PERÚ,PIURA,AYABACA,FRIAS,53618,IE 15306,Instalada,904026
PERÚ,PIURA,AYABACA,PACAIPAMPA,7324,IE 14373 CUMBICUS ALTO,Instalada,904033
PERÚ,PIURA,AYABACA,PACAIPAMPA,7324,IE 14373 CUMBICUS ALTO,Instalada,904034
PERÚ,PIURA,AYABACA,PACAIPAMPA,7325,IE SAN VICENTE,Instalada,904038
PERÚ,PIURA,AYABACA,PACAIPAMPA,7325,IE SAN VICENTE,Instalada,904040
PERÚ,PIURA,AYABACA,PACAIPAMPA,7349,IE LAGUNA DE SAN PABLO,Instalada,904042
PERÚ,PIURA,AYABACA,PACAIPAMPA,53647,IE NANGAY,Instalada,904054
PERÚ,PIURA,AYABACA,SAPILLICA,54189,IE 14398,Instalada,904062
PERÚ,PUNO,CARABAYA,ITUATA,7328,IE CESAR VALLEJO MENDOZA,Instalada,904126
PERÚ,PUNO,CARABAYA,ITUATA,7328,IE CESAR VALLEJO MENDOZA,Instalada,904127
PERÚ,PUNO,CARABAYA,SAN GABAN,50221,IE 72741 LECHEMAYO,Instalada,904143
PERÚ,SAN MARTIN,HUALLAGA,SAPOSOA,54472,IE 0204 JOSELITO LOPEZ TIRADO,Instalada,904366
PERÚ,SAN MARTIN,BELLAVISTA,SAN PABLO,7345,IE 0758 RICARDO PALMA SORIANO,Instalada,904374
PERÚ,SAN MARTIN,BELLAVISTA,SAN PABLO,7345,IE 0758 RICARDO PALMA SORIANO,Instalada,904376
PERÚ,SAN MARTIN,BELLAVISTA,ALTO BIAVO,50235,IE 0238 MANCO CAPAC,Instalada,904382
PERÚ,SAN MARTIN,BELLAVISTA,ALTO BIAVO,50235,IE 0238 MANCO CAPAC,Instalada,904385
PERÚ,SAN MARTIN,TOCACHE,NUEVO PROGRESO,50253,IE CIRO ALEGRIA BAZAN,Instalada,904407
PERÚ,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,4540,IE 00021 RICARDO PALMA,Instalada,904431
PERÚ,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,50247,IE SUGLLAQUIRO,Instalada,904444
PERÚ,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,50248,IE 00804,Instalada,904447
PERÚ,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,54520,IE 00910,Instalada,904449
PERÚ,SAN MARTIN,MOYOBAMBA,JEPELACIO,4547,IE 00512,Instalada,904457
PERÚ,SAN MARTIN,MOYOBAMBA,SORITOR,50249,IE 00503 SAN MARCOS,Instalada,904474
PERÚ,SAN MARTIN,LAMAS,PINTO RECODO,4566,IE 00532,Instalada,904500
PERÚ,SAN MARTIN,LAMAS,PINTO RECODO,54519,IE 00186 JESUS DEL MONTE,Instalada,904508
PERÚ,SAN MARTIN,SAN MARTIN,TARAPOTO,53604,IE 0026 SANTA ROSA DE CUMBAZA,Instalada,904548
PERÚ,SAN MARTIN,SAN MARTIN,CHAZUTA,50251,IE 0700 AGUANO MUYUNA,Instalada,904551
PERÚ,SAN MARTIN,SAN MARTIN,CHAZUTA,50252,IE 0158 TUNUNTUNUMBA,Instalada,904556
PERÚ,UCAYALI,ATALAYA,RAIMONDI,40932,IE AGROPECUARIA JUAN SANTOS ATAHUALPA,Instalada,904628
PERÚ,UCAYALI,ATALAYA,RAIMONDI,40932,IE AGROPECUARIA JUAN SANTOS ATAHUALPA,Instalada,904631
PERÚ,UCAYALI,ATALAYA,RAIMONDI,51833,IE 65117 OVENTENI,Instalada,904636
PERÚ,UCAYALI,ATALAYA,RAIMONDI,55032,IE 65132 CARLOS HUAYANAY PANTOJA,Instalada,904643
PERÚ,UCAYALI,ATALAYA,RAIMONDI,55034,IE 544,Instalada,904645
PERÚ,UCAYALI,ATALAYA,TAHUANIA,40934,IE AGROPECUARIO TUPAC AMARU - B,Instalada,904650
PERÚ,UCAYALI,ATALAYA,TAHUANIA,54831,IE 64170 NUEVA ITALIA,Instalada,904653
PERÚ,UCAYALI,ATALAYA,TAHUANIA,55169,IE 64907-B - CCPP TONIRO MASHE,Instalada,904654
PERÚ,UCAYALI,CORONEL PORTILLO,MASISEA,4909,IE AGROPECUARIO CAIMITO - B,Instalada,904666
