numero_mesa,ambito,region,provincia,distrito,numero_local,nombre_local,eleccion,estado_acta,electores_habiles,votos_emitidos,votos_validos,descripcion,grafico,estado_item,codigo_partido,nagrupacion_politica,total_candidatos,votos,porcentaje_validos,porcentaje_emitidos
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,ALIANZA ELECTORAL VENCEREMOS,1,1,00000003,3,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO PATRIÓTICO DEL PERÚ,1,1,00000024,24,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO CÍVICO OBRAS,1,1,00000014,14,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,1,20,00000006,6,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO DEMÓCRATA VERDE,1,1,00000018,18,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO DEL BUEN GOBIERNO,1,1,00000016,16,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO POLÍTICO PERÚ ACCIÓN,1,1,00000028,28,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO POLÍTICO PRIN,1,1,00000030,30,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PROGRESEMOS,1,1,00000034,34,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO SICREO,1,1,00000031,31,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO PAÍS PARA TODOS,1,1,00000023,23,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO FRENTE DE LA ESPERANZA 2021,1,1,00000021,21,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,1,1,00000027,27,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO CIUDADANOS POR EL PERÚ,1,20,00000013,13,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1,1,00000033,33,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,JUNTOS POR EL PERÚ,1,1,00000010,10,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PODEMOS PERÚ,1,1,00000032,32,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO DEMOCRATICO FEDERAL,1,1,00000019,19,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,FE EN EL PERÚ,1,1,00000005,5,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,1,1,00000026,26,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,FUERZA POPULAR,1,1,00000008,8,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,ALIANZA PARA EL PROGRESO,1,1,00000001,1,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1,1,00000025,25,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,AHORA NACIÓN - AN,1,1,00000002,2,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,LIBERTAD POPULAR,1,1,00000011,11,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,UN CAMINO DIFERENTE,1,1,00000037,37,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,1,1,00000007,7,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PERÚ MODERNO,1,1,00000004,4,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO POLÍTICO PERÚ PRIMERO,1,1,00000029,29,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,SALVEMOS AL PERÚ,1,1,00000036,36,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO DEMOCRÁTICO SOMOS PERÚ,1,1,00000020,20,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO APRISTA PERUANO,1,1,00000012,12,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,RENOVACIÓN POPULAR,1,1,00000035,35,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO DEMÓCRATA UNIDO PERÚ,1,1,00000017,17,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,FUERZA Y LIBERTAD,1,1,00000009,9,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,1,1,00000015,15,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,UNIDAD NACIONAL,1,1,00000038,38,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,PARTIDO MORADO,1,1,00000022,22,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,VOTOS EN BLANCO,0,1,80,80,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,VOTOS NULOS,0,1,81,81,0,0,,
900087,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,presidencial,Para envío al JEE,246,,,VOTOS IMPUGNADOS,1,1,82,82,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,ALIANZA ELECTORAL VENCEREMOS,1,1,00000003,3,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO PATRIÓTICO DEL PERÚ,1,1,00000024,24,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO CÍVICO OBRAS,1,1,00000014,14,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,1,20,00000006,6,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO DEMÓCRATA VERDE,1,1,00000018,18,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO DEL BUEN GOBIERNO,1,1,00000016,16,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO POLÍTICO PERÚ ACCIÓN,1,1,00000028,28,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO POLÍTICO PRIN,1,1,00000030,30,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PROGRESEMOS,1,1,00000034,34,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO SICREO,1,1,00000031,31,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO PAÍS PARA TODOS,1,1,00000023,23,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO FRENTE DE LA ESPERANZA 2021,1,1,00000021,21,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,1,1,00000027,27,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PARTIDO CIUDADANOS POR EL PERÚ,1,20,00000013,13,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1,1,00000033,33,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,JUNTOS POR EL PERÚ,1,1,00000010,10,0,0,,
900110,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,presidencial,Para envío al JEE,296,,,PODEMOS PERÚ,1,1,00000032,32,0,0,,
