ambito,region,provincia,distrito,numero_local,nombre_local,estado_mesa_pdf,numero_mesa,presidencial_estado_acta,presidencial_electores_habiles,presidencial_votos_emitidos,presidencial_votos_validos,presidencial_participacion_pct,presidencial_centro_poblado,presidencial_local_web,presidencial_alianza_electoral_venceremos,presidencial_partido_patriotico_del_peru,presidencial_partido_civico_obras,presidencial_frente_popular_agricola_fia_del_peru,presidencial_partido_democrata_verde,presidencial_partido_del_buen_gobierno,presidencial_partido_politico_peru_accion,presidencial_partido_politico_prin,presidencial_progresemos,presidencial_partido_sicreo,presidencial_partido_pais_para_todos,presidencial_partido_frente_de_la_esperanza_2021,presidencial_partido_politico_nacional_peru_libre,presidencial_partido_ciudadanos_por_el_peru,presidencial_primero_la_gente_comunidad_ecologia_libertad_y_progreso,presidencial_juntos_por_el_peru,presidencial_podemos_peru,presidencial_partido_democratico_federal,presidencial_fe_en_el_peru,presidencial_partido_politico_integridad_democratica,presidencial_fuerza_popular,presidencial_alianza_para_el_progreso,presidencial_partido_politico_cooperacion_popular,presidencial_ahora_nacion_an,presidencial_libertad_popular,presidencial_un_camino_diferente,presidencial_avanza_pais_partido_de_integracion_social,presidencial_peru_moderno,presidencial_partido_politico_peru_primero,presidencial_salvemos_al_peru,presidencial_partido_democratico_somos_peru,presidencial_partido_aprista_peruano,presidencial_renovacion_popular,presidencial_partido_democrata_unido_peru,presidencial_fuerza_y_libertad,presidencial_partido_de_los_trabajadores_y_emprendedores_pte_peru,presidencial_unidad_nacional,presidencial_partido_morado,presidencial_votos_blanco,presidencial_votos_nulos,presidencial_votos_impugnados
PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA,123,IE 16741,Instalada,900087,Para envío al JEE,246,,,0.0,KUSUKUBAIM,IE 16741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,50012,IE JORGE CHAVEZ BERTNELLI,Instalada,900110,Para envío al JEE,296,,,0.0,ÑUNYAJALCA,IE JORGE CHAVEZ BERTNELLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,53320,IE MANUEL SEOANE CORRALES,Instalada,900124,Para envío al JEE,214,,,0.0,BUENA VISTA,IE MANUEL SEOANE CORRALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,AMAZONAS,UTCUBAMBA,CAJARURO,50018,IE JULIO PONCE ANTUNEZ DE MAYOLO,Instalada,900147,Para envío al JEE,250,,,0.0,SAN CRISTOBAL,IE JULIO PONCE ANTUNEZ DE MAYOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,AMAZONAS,UTCUBAMBA,LONYA GRANDE,55098,IE CP 16265 ROBLEPAMPA,Instalada,900171,Para envío al JEE,294,,,0.0,ROBLEPAMPA,IE CP 16265 ROBLEPAMPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,AMAZONAS,LUYA,COCABAMBA,6706,IE 18269,Instalada,900200,Para envío al JEE,157,,,0.0,SAN JUAN DE QUISQUIS,IE 18269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,100,IE 18331 JOSE CARLOS MARIATEGUI,Instalada,900227,Contabilizada,247,203,147,82.186,NUEVO CHIRIMOTO,IE 18331 JOSE CARLOS MARIATEGUI,6,2,10,0,3,7,1,0,1,0,2,2,4,0,2,48,3,0,0,0,24,4,1,6,1,1,0,0,2,0,3,0,12,1,0,0,0,1,42,14,0
PERÚ,ANCASH,CASMA,BUENA VISTA ALTA,19051,IE 88111 JOSE FAUSTINO SANCHEZ CARRION,Instalada,900240,Para envío al JEE,252,,,0.0,HUANCHUY,IE 88111 JOSE FAUSTINO SANCHEZ CARRION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,HUARMEY,MALVAS,420,IE 86142 SABIO SANTIAGO ANTUNEZ DE MAYOLO,Instalada,900249,Para envío al JEE,214,,,0.0,SAN MIGUEL,IE 86142 SABIO SANTIAGO ANTUNEZ DE MAYOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,HUARI,HUARI,55022,IE 86330 - AMPAS,Instalada,900343,Para envío al JEE,229,,,0.0,AMPAS,IE 86330 - AMPAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,HUARI,SAN MARCOS,50038,IE 86384,Instalada,900375,Para envío al JEE,292,,,0.0,PICHIU QUINHUARAGRA,IE 86384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,ANTONIO RAIMONDI,MIRGAS,54103,IE 86737 JORGE NONNI MAINETTI,Instalada,900407,Contabilizada,289,223,135,77.163,SAN ANTONIO DE ACO,IE 86737 JORGE NONNI MAINETTI,2,0,12,0,0,0,0,1,0,1,0,2,1,0,0,83,11,0,0,0,5,1,2,9,1,0,1,0,1,0,0,0,1,1,0,0,0,0,58,30,0
PERÚ,ANCASH,ANTONIO RAIMONDI,MIRGAS,54104,IE 86738 EL AMAUTA JOSÉ MARÍA ARGUEDAS ALTAMIRANO,Instalada,900409,Para envío al JEE,187,,,0.0,SAN MARTIN DE PUNCA,IE 86738 EL AMAUTA JOSÉ MARÍA ARGUEDAS ALTAMIRANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,40958,IEI 330 RANCHAJ,Instalada,900424,Para envío al JEE,213,,,0.0,RANCHAJ,IEI 330 RANCHAJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,ANCASH,ASUNCION,ACOCHACA,50025,IE MARIA AUXILIADORA,Instalada,900430,Para envío al JEE,201,,,0.0,SAPCHA,IE MARIA AUXILIADORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
