numero_local,region,provincia,distrito,lat,lng,clasificacion_oficial_urbano_rural,fuente_clasificacion_oficial,codigo_casco_urbano_inei,distrito_casco_urbano_inei,descripcion_casco_urbano_inei,distancia_borde_casco_urbano_m,profundidad_relativa_casco_urbano,subclasificacion_urbana_oficial
12,AMAZONAS,CHACHAPOYAS,LA JALCA,-6.487318,-77.604605,rural,Fuera de casco urbano INEI,,,,,,
25,AMAZONAS,BAGUA,LA PECA,-5.5203,-78.4981,rural,Fuera de casco urbano INEI,,,,,,
26,AMAZONAS,BAGUA,LA PECA,-5.553718,-78.483212,rural,Fuera de casco urbano INEI,,,,,,
29,AMAZONAS,BAGUA,LA PECA,-5.598959,-78.442888,urbano,INEI casco urbano WFS,010206,LA PECA,CASCO URBANO,85.8,0.1376,urbano_periferico
30,AMAZONAS,BAGUA,LA PECA,-5.619,-78.4018,rural,Fuera de casco urbano INEI,,,,,,
40,AMAZONAS,BAGUA,IMAZA,-5.053152,-78.338137,rural,Fuera de casco urbano INEI,,,,,,
41,AMAZONAS,BAGUA,IMAZA,-5.041924,-78.427977,rural,Fuera de casco urbano INEI,,,,,,
42,AMAZONAS,BAGUA,IMAZA,-4.870584,-78.521123,rural,Fuera de casco urbano INEI,,,,,,
43,AMAZONAS,BAGUA,IMAZA,-5.224886,-78.345504,rural,Fuera de casco urbano INEI,,,,,,
44,AMAZONAS,BAGUA,IMAZA,-4.916443,-78.106973,rural,Fuera de casco urbano INEI,,,,,,
45,AMAZONAS,BAGUA,IMAZA,-5.0611,-78.33,urbano,INEI casco urbano WFS,010205,IMAZA,CASCO URBANO,134.67,0.1652,urbano_central
46,AMAZONAS,BAGUA,IMAZA,-4.8954,-78.2046,rural,Fuera de casco urbano INEI,,,,,,
49,AMAZONAS,BAGUA,IMAZA,-4.7941,-78.2903,urbano,INEI casco urbano WFS,010205,IMAZA,CASCO URBANO,164.29,0.2016,urbano_central
62,AMAZONAS,BONGARA,YAMBRASBAMBA,-5.74344,-77.905064,urbano,INEI casco urbano WFS,010312,YAMBRASBAMBA,CASCO URBANO,177.38,0.2543,urbano_central
79,AMAZONAS,LUYA,PISUQUIA,-6.332591,-78.206538,rural,Fuera de casco urbano INEI,,,,,,
80,AMAZONAS,LUYA,PISUQUIA,-6.35209,-78.20141,rural,Fuera de casco urbano INEI,,,,,,
87,AMAZONAS,LUYA,SANTO TOMAS,-6.552156,-77.878531,rural,Fuera de casco urbano INEI,,,,,,
99,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,-6.456016,-77.080928,rural,Fuera de casco urbano INEI,,,,,,
100,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,-6.549855,-77.235167,rural,Fuera de casco urbano INEI,,,,,,
101,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,-6.27836,-77.19341,rural,Fuera de casco urbano INEI,,,,,,
106,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,-6.227904,-77.230422,rural,Fuera de casco urbano INEI,,,,,,
107,AMAZONAS,CONDORCANQUI,NIEVA,-5.0891,-77.966,rural,Fuera de casco urbano INEI,,,,,,
109,AMAZONAS,CONDORCANQUI,NIEVA,-4.7176,-78.0592,rural,Fuera de casco urbano INEI,,,,,,
110,AMAZONAS,CONDORCANQUI,NIEVA,-4.6562,-78.0347,rural,Fuera de casco urbano INEI,,,,,,
112,AMAZONAS,CONDORCANQUI,NIEVA,-4.518166,-77.947862,rural,Fuera de casco urbano INEI,,,,,,
114,AMAZONAS,CONDORCANQUI,NIEVA,-4.8952,-77.9265,rural,Fuera de casco urbano INEI,,,,,,
116,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,-4.0567,-77.7575,urbano,INEI casco urbano WFS,010403,RIO SANTIAGO,CASCO URBANO,300.94,0.4341,urbano_central
117,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,-4.2417,-77.7244,rural,Fuera de casco urbano INEI,,,,,,
118,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,-3.458156,-77.848652,rural,Fuera de casco urbano INEI,,,,,,
119,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,-4.3443,-77.6982,rural,Fuera de casco urbano INEI,,,,,,
122,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,-3.345398,-77.877205,rural,Fuera de casco urbano INEI,,,,,,
123,AMAZONAS,CONDORCANQUI,EL CENEPA,-4.4348,-78.2501,rural,Fuera de casco urbano INEI,,,,,,
124,AMAZONAS,CONDORCANQUI,EL CENEPA,-4.606309,-78.20077,rural,Fuera de casco urbano INEI,,,,,,
125,AMAZONAS,CONDORCANQUI,EL CENEPA,-4.532424,-78.460167,rural,Fuera de casco urbano INEI,,,,,,
126,AMAZONAS,CONDORCANQUI,EL CENEPA,-4.404403,-78.412683,rural,Fuera de casco urbano INEI,,,,,,
127,AMAZONAS,CONDORCANQUI,EL CENEPA,-4.2724,-78.3567,rural,Fuera de casco urbano INEI,,,,,,
129,AMAZONAS,CONDORCANQUI,EL CENEPA,-4.572692,-78.190338,rural,Fuera de casco urbano INEI,,,,,,
130,AMAZONAS,CONDORCANQUI,EL CENEPA,-4.63643,-78.146082,rural,Fuera de casco urbano INEI,,,,,,
132,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,-5.90945,-78.449,rural,Fuera de casco urbano INEI,,,,,,
161,ANCASH,HUARAZ,HUANCHAY,-9.744509,-77.881983,rural,Fuera de casco urbano INEI,,,,,,
169,ANCASH,HUARAZ,PIRA,-9.55492,-77.656484,rural,Fuera de casco urbano INEI,,,,,,
170,ANCASH,HUARAZ,PIRA,-9.556792,-77.722254,rural,Fuera de casco urbano INEI,,,,,,
171,ANCASH,HUARAZ,PIRA,-9.550157,-77.681386,rural,Fuera de casco urbano INEI,,,,,,
176,ANCASH,AIJA,LA MERCED,-9.697501,-77.595302,rural,Fuera de casco urbano INEI,,,,,,
184,ANCASH,BOLOGNESI,HUAYLLACAYAN,-10.2575,-77.483397,rural,Fuera de casco urbano INEI,,,,,,
187,ANCASH,BOLOGNESI,HUASTA,-10.1119,-77.0521,urbano,INEI casco urbano WFS,020509,HUASTA,CASCO URBANO,16.06,0.0402,urbano_periferico
190,ANCASH,BOLOGNESI,PACLLON,-10.1973,-77.0307,urbano,INEI casco urbano WFS,020513,PACLLON,CASCO URBANO,6.32,0.0217,urbano_periferico
205,ANCASH,CARHUAZ,MARCARA,-9.328795,-77.552866,urbano,INEI casco urbano WFS,020606,MARCARA,CASCO URBANO,74.97,0.095,urbano_periferico
208,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,-9.366043,-77.523908,rural,Fuera de casco urbano INEI,,,,,,
218,ANCASH,CASMA,YAUTAN,-9.518966,-78.050493,urbano,INEI casco urbano WFS,020804,YAUTAN,CASCO URBANO,68.88,0.1261,urbano_periferico
224,ANCASH,CORONGO,CUSCA,-8.57483,-77.78611,urbano,INEI casco urbano WFS,020904,CUSCA,CASCO URBANO,26.75,0.0748,urbano_periferico
228,ANCASH,HUAYLAS,CARAZ,-9.034093,-77.766432,rural,Fuera de casco urbano INEI,,,,,,
230,ANCASH,HUAYLAS,CARAZ,-9.050121,-77.751408,rural,Fuera de casco urbano INEI,,,,,,
236,ANCASH,HUAYLAS,PAMPAROMAS,-9.112601,-77.96855,rural,Fuera de casco urbano INEI,,,,,,
237,ANCASH,HUAYLAS,PAMPAROMAS,-9.221,-77.9229,rural,Fuera de casco urbano INEI,,,,,,
242,ANCASH,HUAYLAS,YURACMARCA,-8.77558,-77.744537,rural,Fuera de casco urbano INEI,,,,,,
